loiczid;csquarecode;lname;occurrence
101276;1105:497:4;pandion haliaetus;t
101990;1105:394:2;bubulcus ibis;t
101990;1105:394:2;riparia riparia;t
104863;1105:371:1;triturus cristatus;t
104869;1105:374:1;anser albifrons;t
104869;1105:374:1;ardea alba;t
104869;1105:374:1;ardea cinerea;t
104869;1105:374:1;ardeola ralloides;t
104869;1105:374:1;aythya fuligula;t
104869;1105:374:1;bubulcus ibis;t
104869;1105:374:1;crex crex;t
104869;1105:374:1;egretta garzetta;t
104869;1105:374:1;gallinago gallinago;t
104869;1105:374:1;gallinula chloropus;t
104869;1105:374:1;hydroprogne caspia;t
104869;1105:374:1;numenius arquata;t
104869;1105:374:1;nycticorax nycticorax;t
104869;1105:374:1;pandion haliaetus;t
104869;1105:374:1;phalacrocorax carbo;t
104869;1105:374:1;platalea leucorodia;t
104869;1105:374:1;riparia riparia;t
16224;1701:381:4;aythya fuligula;t
16224;1701:381:4;gallinago gallinago;t
16224;1701:381:4;gavia arctica;t
16224;1701:381:4;riparia riparia;t
16951;1701:485:1;anser albifrons;t
16951;1701:485:1;aythya fuligula;t
16951;1701:485:1;bucephala clangula;t
16951;1701:485:1;gallinago gallinago;t
16951;1701:485:1;hydrocoloeus minutus;t
16952;1701:485:2;anser albifrons;t
16952;1701:485:2;ardea alba;t
16952;1701:485:2;aythya fuligula;t
16952;1701:485:2;bucephala clangula;t
16952;1701:485:2;gallinago gallinago;t
16952;1701:485:2;gavia arctica;t
16952;1701:485:2;numenius arquata;t
16954;1701:486:2;gallinago gallinago;t
17674;1701:476:4;bucephala clangula;t
17674;1701:476:4;gallinago gallinago;t
21998;1701:248:4;aythya fuligula;t
27048;1702:113:2;aythya fuligula;t
27048;1702:113:2;lutra lutra;t
27048;1702:113:2;phalacrocorax carbo;t
27049;1702:114:1;ardea cinerea;t
27049;1702:114:1;cinclus cinclus;t
27049;1702:114:1;gallinago gallinago;t
27049;1702:114:1;gavia arctica;t
27049;1702:114:1;lutra lutra;t
27049;1702:114:1;phalacrocorax carbo;t
27052;1702:215:2;ardea cinerea;t
27052;1702:215:2;bucephala clangula;t
27052;1702:215:2;cinclus cinclus;t
27052;1702:215:2;gallinago gallinago;t
27052;1702:215:2;gavia arctica;t
27052;1702:215:2;mergus merganser;t
27052;1702:215:2;numenius arquata;t
27052;1702:215:2;phalacrocorax carbo;t
27052;1702:215:2;riparia riparia;t
27053;1702:216:1;lutra lutra;t
27053;1702:216:1;mergus merganser;t
27053;1702:216:1;pandion haliaetus;t
27053;1702:216:1;phalacrocorax carbo;t
27055;1702:217:1;gallinago gallinago;t
27056;1702:217:2;ardea alba;t
27056;1702:217:2;ardea cinerea;t
27056;1702:217:2;bucephala clangula;t
27056;1702:217:2;gallinago gallinago;t
27056;1702:217:2;lutra lutra;t
27056;1702:217:2;mergus merganser;t
27056;1702:217:2;phalacrocorax carbo;t
27057;1702:218:1;anser albifrons;t
27057;1702:218:1;ardea alba;t
27057;1702:218:1;ardea cinerea;t
27057;1702:218:1;aythya fuligula;t
27057;1702:218:1;bucephala clangula;t
27057;1702:218:1;cinclus cinclus;t
27057;1702:218:1;cygnus olor;t
27057;1702:218:1;gallinago gallinago;t
27057;1702:218:1;gavia arctica;t
27057;1702:218:1;glareola pratincola;t
27057;1702:218:1;hydrocoloeus minutus;t
27057;1702:218:1;larus minutus;t
27057;1702:218:1;lutra lutra;t
27057;1702:218:1;mergus merganser;t
27057;1702:218:1;numenius arquata;t
27057;1702:218:1;phalacrocorax carbo;t
27765;1702:102:3;gallinago gallinago;t
27765;1702:102:3;gavia arctica;t
27765;1702:102:3;lutra lutra;t
27765;1702:102:3;mergus merganser;t
27765;1702:102:3;phalacrocorax carbo;t
27766;1702:102:4;gallinago gallinago;t
27766;1702:102:4;gavia arctica;t
27766;1702:102:4;lutra lutra;t
27766;1702:102:4;mergus merganser;t
27766;1702:102:4;phalacrocorax carbo;t
27767;1702:103:3;gavia arctica;t
27767;1702:103:3;lutra lutra;t
27767;1702:103:3;mergus merganser;t
27767;1702:103:3;phalacrocorax carbo;t
27768;1702:103:4;ardea cinerea;t
27768;1702:103:4;aythya fuligula;t
27768;1702:103:4;bucephala clangula;t
27768;1702:103:4;cinclus cinclus;t
27768;1702:103:4;gavia arctica;t
27768;1702:103:4;hydrocoloeus minutus;t
27768;1702:103:4;lutra lutra;t
27768;1702:103:4;mergus merganser;t
27768;1702:103:4;neovison vison;t
27768;1702:103:4;numenius arquata;t
27768;1702:103:4;phalacrocorax carbo;t
27768;1702:103:4;rana temporaria;t
27768;1702:103:4;riparia riparia;t
27769;1702:104:3;botaurus stellaris;t
27769;1702:104:3;gallinago gallinago;t
27769;1702:104:3;gavia arctica;t
27769;1702:104:3;lutra lutra;t
27769;1702:104:3;mergus merganser;t
27769;1702:104:3;neomys fodiens;t
27769;1702:104:3;numenius arquata;t
27769;1702:104:3;phalacrocorax carbo;t
27769;1702:104:3;riparia riparia;t
27770;1702:104:4;alces alces;t
27770;1702:104:4;ardea cinerea;t
27770;1702:104:4;aythya fuligula;t
27770;1702:104:4;cinclus cinclus;t
27770;1702:104:4;gavia arctica;t
27770;1702:104:4;lutra lutra;t
27770;1702:104:4;mergus merganser;t
27770;1702:104:4;numenius arquata;t
27770;1702:104:4;phalacrocorax carbo;t
27771;1702:205:3;lutra lutra;t
27771;1702:205:3;mergus merganser;t
27772;1702:205:4;aythya fuligula;t
27772;1702:205:4;bucephala clangula;t
27772;1702:205:4;gallinago gallinago;t
27772;1702:205:4;gavia arctica;t
27772;1702:205:4;lutra lutra;t
27772;1702:205:4;mergus merganser;t
27772;1702:205:4;numenius arquata;t
